,0
1197,b'196'
1198,b'191'
1199,b'190'
1200,b'6980'
1201,b'273'
1202,b'275'
1203,b'277'
1204,b'278'
1205,b'1409'
1206,b'8730'
1207,b'1404'
1208,b'9151'
1209,b'9153'
1210,b'7303'
1211,b'5988'
1212,b'5670'
1213,b'6930'
1214,b'1949'
1215,b'6936'
1216,b'6937'
1217,b'8695'
1218,b'5770'
1219,b'6939'
1220,b'106'
1221,b'8690'
1222,b'5777'
1223,b'8692'
1224,b'32'
1225,b'9410'
1226,b'640'
1227,b'5799'
1228,b'1247'
1229,b'9418'
1230,b'9419'
1231,b'2160'
1232,b'7309'
1233,b'339'
1234,b'338'
1235,b'335'
1236,b'334'
1237,b'337'
1238,b'331'
1239,b'332'
1240,b'8348'
1241,b'7340'
1242,b'5133'
1243,b'6436'
1244,b'6435'
1245,b'1938'
1246,b'5708'
1247,b'5709'
1248,b'156'
1249,b'7265'
1250,b'7260'
1251,b'7263'
1252,b'7262'
1253,b'6207'
1254,b'6200'
1255,b'6'
1256,b'151'
1257,b'7300'
1258,b'8957'
1259,b'7270'
1260,b'6928'
1261,b'8719'
1262,b'91'
1263,b'94'
1264,b'96'
1265,b'5953'
1266,b'1992'
1267,b'5955'
1268,b'5956'
1269,b'5959'
1270,b'1733'
1271,b'5819'
1272,b'5795'
1273,b'5793'
1274,b'5792'
1275,b'7145'
1276,b'5812'
1277,b'5813'
1278,b'5816'
1279,b'5817'
1280,b'9378'
1281,b'8122'
1282,b'7176'
1283,b'7172'
1284,b'6899'
1285,b'236'
1286,b'237'
1287,b'230'
1288,b'7178'
1289,b'7390'
1290,b'7078'
1291,b'7079'
1292,b'5350'
1293,b'5450'
1294,b'7075'
1295,b'6103'
1296,b'231'
1297,b'5924'
1298,b'5926'
1299,b'5927'
1300,b'5920'
1301,b'5922'
1302,b'5923'
1303,b'1753'
1304,b'1752'
1305,b'1751'
1306,b'100000'
1307,b'146'
1308,b'6977'
1309,b'6972'
1310,b'9446'
1311,b'9443'
1312,b'6978'
1313,b'149'
1314,b'5536'
1315,b'8791'
1316,b'1318'
1317,b'8796'
1318,b'8245'
1319,b'6446'
1320,b'5760'
1321,b'5752'
1322,b'946'
1323,b'6916'
1324,b'7188'
1325,b'123'
1326,b'8760'
1327,b'5723'
1328,b'8768'
1329,b'8640'
1330,b'5721'
1331,b'9201'
1332,b'8423'
1333,b'5175'
1334,b'8388'
