Pot.No,Block,Realized_PosA,Realized_PosB,AccID_Tester_posA,AccID_Target_posB,CommunityType,RealizedComposition,Rosette_PosA_22to24March,Rosette_PosB_22to24March,DateOfFirstFlowering.PosA,DateOfFirstFlowering.PosB,washingDateRoot,RootMass_mg,RootMass_mg_corrected,Biomass_mg_posA,Biomass_mg_posB,PotBiomass_mg
G1652,b2,Sav,Edi0,8412,6914,mixture,Sav Edi0,7.5,7.5,03/22/2016,NA,04/21/2012,88.9,151.74,348,503,851
G1653,b2,Sav,Ei2,8412,6915,mixture,Sav Ei2,9.5,8.5,03/20/2016,04/07/2016,NA,NA,NA,407,662,1069
G1654,b2,Sav,Est,8412,6916,mixture,Sav Est,8.5,10,03/20/2016,03/27/2016,04/21/2012,133.8,196.64,524,550,1074
G1655,b2,Sav,Fab2,8412,6917,mixture,Sav Fab2,8.5,8,03/20/2016,NA,04/21/2012,101.2,164.04,524,284,808
G1656,b2,Sav,Got22,8412,6920,mixture,Sav Got22,9,9.5,03/20/2016,NA,NA,NA,NA,464,428,892
G1657,b2,Sav,Got7,8412,6921,mixture,Sav Got7,8.5,9,03/20/2016,NA,NA,NA,NA,431,517,948
G1658,b2,Sav,Gu0,8412,6922,mixture,Sav Gu0,7.5,6,03/20/2016,03/27/2016,04/21/2012,81.2,144.04,397,360,757
G1659,b2,Sav,Kin,8412,6926,mixture,Sav Kin,9,8,03/20/2016,04/07/2016,NA,NA,NA,419,547,966
G1660,b2,Sav,Kond,8412,6929,mixture,Sav Kond,8,9.5,03/20/2016,04/07/2016,04/21/2012,90.1,152.94,347,508,855
G1661,b2,Sav,Ler,8412,6932,mixture,Sav Ler,9,6.5,03/20/2016,03/27/2016,NA,NA,NA,406,414,820
G1662,b2,Sav,Lov1,8412,6043,mixture,Sav Lov1,8,6,03/20/2016,NA,04/17/2012,120.2,120.20,492,247,739
G1663,b2,Sav,Lov5,8412,6046,mixture,Sav Lov5,8,6,03/20/2016,NA,NA,NA,NA,455,205,660
G1664,b2,Sav,Lp22,8412,7520,mixture,Sav Lp22,7.5,6.5,03/20/2016,03/31/2016,04/21/2012,142.2,205.04,391,593,984
G1665,b2,Sav,Lz,8412,6936,mixture,Sav Lz,10,8,03/20/2016,04/12/2016,NA,NA,NA,532,505,1037
G1666,b2,Sav,Mrk,8412,6937,mixture,Sav Mrk,9.5,10,03/20/2016,03/31/2016,04/21/2012,141.1,203.94,414,700,1114
G1667,b2,Sav,Mz,8412,6940,mixture,Sav Mz,9,6,03/20/2016,03/27/2016,NA,NA,NA,425,145,570
G1668,b2,Sav,Nd,8412,6942,mixture,Sav Nd,10,7,03/20/2016,03/27/2016,NA,NA,NA,578,412,990
G1669,b2,Sav,Nok3,8412,6945,mixture,Sav Nok3,8.5,9,03/20/2016,NA,NA,NA,NA,500,510,1010
G1670,b2,Sav,Omo23,8412,7519,mixture,Sav Omo23,7,7.5,03/20/2016,NA,04/21/2012,124.2,187.04,347,542,889
G1671,b2,Sav,Oy,8412,6946,mixture,Sav Oy,8,8.5,03/20/2016,03/31/2016,NA,NA,NA,303,867,1170
G1672,b2,Sav,Pna10,8412,7526,mixture,Sav Pna10,10,7.5,03/20/2016,NA,04/21/2012,165.5,228.34,563,497,1060
G1673,b2,Sav,Pna17,8412,7523,mixture,Sav Pna17,9,7.5,03/20/2016,NA,NA,NA,NA,425,332,757
G1674,b2,Sav,Pro,8412,8213,mixture,Sav Pro,8.5,7.5,03/20/2016,03/27/2016,NA,NA,NA,438,538,976
G1675,b2,Sav,Ra,8412,6958,mixture,Sav Ra,8.5,9,03/20/2016,03/27/2016,NA,NA,NA,406,610,1016
G1676,b2,Sav,Ren1,8412,6959,mixture,Sav Ren1,9.5,6.5,03/20/2016,04/07/2016,NA,NA,NA,572,502,1074
G1677,b2,Sav,Ren11,8412,6960,mixture,Sav Ren11,8,8.5,03/20/2016,03/24/2016,NA,NA,NA,335,640,975
G1678,b2,Sav,Rmx2,8412,7524,mixture,Sav Rmx2,9,7,03/20/2016,NA,NA,NA,NA,422,455,877
G1679,b2,Sav,Rmx180,8412,7525,mixture,Sav Rmx180,8.5,7.5,03/20/2016,NA,NA,NA,NA,465,575,1040
G1680,b2,Sav,Rrs7,8412,7514,mixture,Sav Rrs7,9.5,8,03/20/2016,NA,NA,NA,NA,395,449,844
G1681,b2,Sav,Se,8412,6961,mixture,Sav Se,9.5,11.5,03/20/2016,04/07/2016,NA,NA,NA,414,603,1017
G1682,b2,Sav,Sha,8412,6962,mixture,Sav Sha,8.5,7,03/20/2016,03/31/2016,NA,NA,NA,375,478,853
G1683,b2,Sav,Sorbo,8412,6963,mixture,Sav Sorbo,9,8,03/20/2016,NA,NA,NA,NA,353,462,815
G1684,b2,Sav,Tamm2,8412,6968,mixture,Sav Tamm2,9,7,03/20/2016,NA,04/21/2012,97.9,160.74,630,269,899
G1685,b2,Sav,Tamm27,8412,6969,mixture,Sav Tamm27,10,10,03/20/2016,NA,04/21/2012,113.7,176.54,594,441,1035
G1686,b2,Sav,Ts1,8412,6970,mixture,Sav Ts1,8,9.5,03/20/2016,03/31/2016,NA,NA,NA,343,475,818
G1687,b2,Sav,Tsu1,8412,6972,mixture,Sav Tsu1,9.5,8.5,03/20/2016,04/03/2016,04/21/2012,169.6,232.44,397,668,1065
G1688,b2,Sav,Ull23,8412,6973,mixture,Sav Ull23,8.5,7,03/20/2016,03/29/2016,NA,NA,NA,394,669,1063
G1689,b2,Sav,Uod1,8412,6975,mixture,Sav Uod1,7.5,6.5,03/20/2016,03/31/2016,NA,NA,NA,415,502,917
G1690,b2,Sav,Uod7,8412,6976,mixture,Sav Uod7,8.5,7,03/20/2016,NA,04/21/2012,121.8,184.64,401,436,837
G1691,b2,Sav,Van,8412,6977,mixture,Sav Van,7.5,7,03/20/2016,03/31/2016,NA,NA,NA,465,420,885
G1692,b2,Sav,Var21,8412,7516,mixture,Sav Var21,10,6,03/20/2016,NA,NA,NA,NA,580,339,919
G1693,b2,Sav,Var26,8412,7517,mixture,Sav Var26,9,8,03/20/2016,NA,04/21/2012,77,139.84,501,186,687
G1694,b2,Sav,Wa,8412,6978,mixture,Sav Wa,9.5,8.5,03/20/2016,03/27/2016,NA,NA,NA,464,578,1042
G1695,b2,Sav,Wie,8412,6979,mixture,Sav Wie,9,9,03/20/2016,03/20/2016,04/21/2012,98.7,161.54,472,475,947
G1696,b2,Sav,Ws0,8412,6980,mixture,Sav Ws0,8,9,03/20/2016,NA,04/20/2012,175.7,232.33,291,579,870
G1697,b2,Sav,Ws2,8412,6981,mixture,Sav Ws2,8,7.5,03/20/2016,03/22/2016,NA,NA,NA,378,422,800
G1698,b2,Sav,Wt5,8412,6982,mixture,Sav Wt5,8.5,8,03/20/2016,04/03/2016,NA,NA,NA,452,358,810
G1699,b2,Sav,Yo,8412,6983,mixture,Sav Yo,9.5,7,03/20/2016,NA,NA,NA,NA,467,442,909
G1700,b2,Sav,Zdr,8412,6984,mixture,Sav Zdr,8,8,03/20/2016,03/27/2016,NA,NA,NA,450,589,1039
G1701,b2,Sav,Sav,8412,8412,monoculture,Sav Sav,8.5,8,03/20/2016,03/20/2016,NA,NA,NA,407,408,815
G1702,b2,Sav,Uk,8412,7378,mixture,Sav Uk,8,9,03/20/2016,04/10/2016,NA,NA,NA,419,620,1039
G1703,b2,Sav,Sf2,8412,7328,mixture,Sav Sf2,8,8.5,03/20/2016,NA,NA,NA,NA,349,434,783
G1704,b2,Sav,St0,8412,8387,mixture,Sav St0,8.5,8.5,03/20/2016,04/03/2016,04/21/2012,143.7,206.54,489,676,1165
G1705,b2,Sav,Cvi,8412,6911,mixture,Sav Cvi,8,6,03/20/2016,03/27/2016,NA,NA,NA,454,217,671
G1706,b2,Sav,Ci17,8412,6907,mixture,Sav Ci17,7,6,03/20/2016,NA,NA,NA,NA,526,566,1092
G1707,b2,Sav,Kno10,8412,6927,mixture,Sav Kno10,9,8,03/20/2016,NA,NA,NA,NA,542,461,1003
G1708,b2,Sav,Kn-0,8412,7186,mixture,Sav Kn-0,8,10,03/20/2016,03/29/2016,NA,NA,NA,356,756,1112
G1709,b2,Sav,Pu27,8412,6956,mixture,Sav Pu27,8,8.5,03/20/2016,NA,NA,NA,NA,330,478,808
G1710,b2,Sav,Sq1,8412,6966,mixture,Sav Sq1,8.5,9.5,03/20/2016,NA,NA,NA,NA,461,484,945
G1711,b2,Sav,Ull25,8412,6974,mixture,Sav Ull25,7.5,7,03/20/2016,03/31/2016,04/21/2012,107,169.84,387,567,954
G1712,b2,Sav,Ag,8412,6897,mixture,Sav Ag,8,5.5,03/20/2016,NA,NA,NA,NA,569,419,988
G1713,b2,Sav,Gy,8412,8214,mixture,Sav Gy,9,7,03/20/2016,04/10/2016,NA,NA,NA,622,250,872
G1714,b2,Sav,Bor4,8412,6903,mixture,Sav Bor4,9.5,8,03/20/2016,04/07/2016,NA,NA,NA,386,456,842
G1715,b2,Sav,Fab4,8412,6918,mixture,Sav Fab4,9,6,03/20/2016,NA,NA,NA,NA,552,200,752
G1716,b2,Sav,Ga,8412,6919,mixture,Sav Ga,9,7.5,03/20/2016,04/10/2016,04/21/2012,115.7,178.54,332,525,857
G1717,b2,Sav,Kno18,8412,6928,mixture,Sav Kno18,8.5,7.5,03/20/2016,NA,NA,NA,NA,418,450,868
G1718,b2,Sav,Mt0,8412,6939,mixture,Sav Mt0,9,8.5,03/20/2016,03/27/2016,NA,NA,NA,452,668,1120
G1719,b2,Sav,Omo21,8412,7518,mixture,Sav Omo21,8.5,9.5,03/20/2016,NA,NA,NA,NA,377,430,807
G1720,b2,Sav,Pu223,8412,6951,mixture,Sav Pu223,8.5,7.5,03/20/2016,04/05/2016,04/21/2012,123.2,186.04,382,420,802
G1721,b2,Sav,Rrs10,8412,7515,mixture,Sav Rrs10,9.5,7.5,03/20/2016,NA,NA,NA,NA,647,515,1162
G1722,b2,Sav,Fei,8412,8215,mixture,Sav Fei,7,9.5,03/20/2016,03/31/2016,NA,NA,NA,339,716,1055
G1723,b2,Sav,Kas,8412,8424,mixture,Sav Kas,7.5,7,03/20/2016,NA,04/21/2012,157.3,220.14,391,582,973
G1724,b2,Sav,No,8412,7275,mixture,Sav No,9.5,10.5,03/20/2016,03/20/2016,04/21/2012,115.5,178.34,436,649,1085
G1725,b2,Sav,Bla1,8412,8264,mixture,Sav Bla1,7.5,10,03/20/2016,NA,NA,NA,NA,428,345,773
G1726,b2,Sav,Can,8412,8274,mixture,Sav Can,9,8.5,03/20/2016,NA,NA,NA,NA,517,488,1005
G1727,b2,Sav,Ge,8412,8297,mixture,Sav Ge,8,7.5,03/20/2016,NA,NA,NA,NA,415,415,830
G1728,b2,Sav,Wil2,8412,7413,mixture,Sav Wil2,8.5,8,03/20/2016,03/22/2016,NA,NA,NA,341,687,1028
G1729,b2,Cvi,Ci5,6911,6908,mixture,Cvi Ci5,8.5,6,03/31/2016,NA,NA,NA,NA,302,446,748
G1730,b2,Cvi,Ll0,6911,6933,mixture,Cvi Ll0,8,7,03/29/2016,04/07/2016,NA,NA,NA,326,366,692
G1731,b2,Cvi,Nfa10,6911,6943,mixture,Cvi Nfa10,6,7,03/31/2016,04/03/2016,NA,NA,NA,227,428,655
G1732,b2,Cvi,Nfa8,6911,6944,mixture,Cvi Nfa8,7,7.5,03/31/2016,03/27/2016,NA,NA,NA,214,444,658
G1733,b2,Cvi,Spr16,6911,6965,mixture,Cvi Spr16,6.5,NA,04/05/2016,NA,04/21/2012,55.5,118.34,262,NA,NA
G1734,b2,Cvi,Ts5,6911,6971,mixture,Cvi Ts5,7,7,03/29/2016,NA,04/20/2012,101.5,158.13,200,415,615
G1735,b2,Cvi,Kz9,6911,6931,mixture,Cvi Kz9,7,8.5,03/29/2016,03/31/2016,NA,NA,NA,248,699,947
G1736,b2,Cvi,An1,6911,6898,mixture,Cvi An1,7.5,8,03/29/2016,03/22/2016,NA,NA,NA,291,448,739
G1737,b2,Cvi,Bay,6911,6899,mixture,Cvi Bay,6.5,8,03/29/2016,03/27/2016,04/21/2012,120.9,183.74,186,826,1012
G1738,b2,Cvi,Bil5,6911,6900,mixture,Cvi Bil5,8,6.5,03/24/2016,NA,04/21/2012,55.7,118.54,236,96,332
G1739,b2,Cvi,Bil7,6911,6901,mixture,Cvi Bil7,6.5,8.5,03/22/2016,NA,NA,NA,NA,196,215,411
G1740,b2,Cvi,Bor1,6911,5837,mixture,Cvi Bor1,7.5,6.5,03/29/2016,04/03/2016,NA,NA,NA,228,638,866
G1741,b2,Cvi,Br0,6911,6904,mixture,Cvi Br0,7,9,03/24/2016,NA,NA,NA,NA,198,807,1005
G1742,b2,Cvi,Bur,6911,6905,mixture,Cvi Bur,8.5,10,03/27/2016,04/05/2016,04/21/2012,151.7,214.54,233,770,1003
G1743,b2,Cvi,C24,6911,6906,mixture,Cvi C24,7,8,03/27/2016,03/29/2016,NA,NA,NA,175,743,918
G1744,b2,Cvi,Col,6911,6909,mixture,Cvi Col,7,7.5,03/31/2016,03/29/2016,NA,NA,NA,219,638,857
G1745,b2,Cvi,Ct,6911,6910,mixture,Cvi Ct,7,7.5,03/29/2016,03/27/2016,NA,NA,NA,240,488,728
G1746,b2,Cvi,Ed1,6911,6009,mixture,Cvi Ed1,8,7,03/24/2016,NA,NA,NA,NA,315,139,454
G1747,b2,NA,NA,NA,NA,monoculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G1748,b2,Cvi,Edi0,6911,6914,mixture,Cvi Edi0,7,7.5,03/29/2016,NA,NA,NA,NA,226,474,700
G1749,b2,Cvi,Ei2,6911,6915,mixture,Cvi Ei2,8.5,6.5,03/27/2016,04/07/2016,NA,NA,NA,214,548,762
G1750,b2,Cvi,Est,6911,6916,mixture,Cvi Est,7.5,9.5,03/27/2016,03/29/2016,NA,NA,NA,247,369,616
G1751,b2,Cvi,Fab2,6911,6917,mixture,Cvi Fab2,6.5,8,03/20/2016,NA,NA,NA,NA,190,393,583
G1752,b2,Cvi,Got22,6911,6920,mixture,Cvi Got22,7,9,03/27/2016,NA,NA,NA,NA,201,462,663
G1753,b2,Cvi,Got7,6911,6921,mixture,Cvi Got7,7,8.5,03/31/2016,NA,04/21/2012,162.6,225.44,202,541,743
G1754,b2,Cvi,Gu0,6911,6922,mixture,Cvi Gu0,6,8,03/24/2016,03/27/2016,NA,NA,NA,176,500,676
G1755,b2,Cvi,Kin,6911,6926,mixture,Cvi Kin,7,8,03/24/2016,04/03/2016,NA,NA,NA,251,763,1014
G1756,b2,Cvi,Kond,6911,6929,mixture,Cvi Kond,8,10,03/27/2016,04/07/2016,04/21/2012,177.5,240.34,287,831,1118
G1757,b2,Cvi,Ler,6911,6932,mixture,Cvi Ler,5.5,6.5,03/20/2016,03/27/2016,04/21/2012,106.2,169.04,129,549,678
G1758,b2,Cvi,Lov1,6911,6043,mixture,Cvi Lov1,7.5,7,04/03/2016,NA,04/21/2012,93.3,156.14,336,185,521
G1759,b2,Cvi,Lov5,6911,6046,mixture,Cvi Lov5,8,6.5,03/31/2016,NA,NA,NA,NA,283,217,500
G1760,b2,Cvi,Lp22,6911,7520,mixture,Cvi Lp22,7,8,03/27/2016,03/29/2016,04/21/2012,134.8,197.64,217,823,1040
G1761,b2,Cvi,Lz,6911,6936,mixture,Cvi Lz,8,10,03/22/2016,04/12/2016,NA,NA,NA,180,660,840
G1762,b2,Cvi,Mrk,6911,6937,mixture,Cvi Mrk,7.5,8,03/22/2016,03/31/2016,NA,NA,NA,188,681,869
G1763,b2,Cvi,Mz,6911,6940,mixture,Cvi Mz,8.5,5.5,03/31/2016,03/27/2016,NA,NA,NA,346,174,520
G1764,b2,Cvi,Nd,6911,6942,mixture,Cvi Nd,7,8.5,03/27/2016,03/24/2016,NA,NA,NA,233,630,863
G1765,b2,Cvi,Nok3,6911,6945,mixture,Cvi Nok3,8,8.5,03/27/2016,NA,NA,NA,NA,268,570,838
G1766,b2,Cvi,Omo23,6911,7519,mixture,Cvi Omo23,7.5,7.5,03/29/2016,NA,NA,NA,NA,262,468,730
G1767,b2,Cvi,Oy,6911,6946,mixture,Cvi Oy,7,7.5,03/22/2016,04/03/2016,NA,NA,NA,177,727,904
G1768,b2,Cvi,Pna10,6911,7526,mixture,Cvi Pna10,7,6.5,03/31/2016,NA,NA,NA,NA,224,511,735
G1769,b2,Cvi,Pna17,6911,7523,mixture,Cvi Pna17,7,6.5,03/31/2016,NA,04/21/2012,109.3,172.14,257,431,688
G1770,b2,Cvi,Pro,6911,8213,mixture,Cvi Pro,7,8.5,03/22/2016,03/27/2016,NA,NA,NA,198,487,685
G1771,b2,Cvi,Ra,6911,6958,mixture,Cvi Ra,8,8,03/31/2016,03/29/2016,NA,NA,NA,286,723,1009
G1772,b2,Cvi,Ren1,6911,6959,mixture,Cvi Ren1,7,7,04/03/2016,04/05/2016,NA,NA,NA,169,580,749
G1773,b2,Cvi,Ren11,6911,6960,mixture,Cvi Ren11,8,8,03/24/2016,03/27/2016,04/21/2012,94,156.84,248,677,925
G1774,b2,Cvi,Rmx2,6911,7524,mixture,Cvi Rmx2,4,8.5,03/20/2016,NA,NA,NA,NA,84,622,706
G1775,b2,Cvi,Rmx180,6911,7525,mixture,Cvi Rmx180,6.5,8,03/24/2016,04/10/2016,NA,NA,NA,209,623,832
G1776,b2,Cvi,Rrs7,6911,7514,mixture,Cvi Rrs7,NA,NA,03/29/2016,NA,04/21/2012,116.8,179.64,226,537,763
G1777,b2,Cvi,Se,6911,6961,mixture,Cvi Se,7,10,03/29/2016,04/07/2016,04/21/2012,144.1,206.94,232,580,812
G1778,b2,Cvi,Sha,6911,6962,mixture,Cvi Sha,8.5,8.5,03/24/2016,03/27/2016,NA,NA,NA,244,772,1016
G1779,b2,Cvi,Sorbo,6911,6963,mixture,Cvi Sorbo,8,10.5,03/22/2016,NA,NA,NA,NA,183,712,895
G1780,b2,Cvi,Tamm2,6911,6968,mixture,Cvi Tamm2,8.5,8.5,03/27/2016,NA,NA,NA,NA,271,371,642
G1781,b2,Cvi,Tamm27,6911,6969,mixture,Cvi Tamm27,8,8,03/29/2016,NA,NA,NA,NA,266,246,512
G1782,b2,Cvi,Ts1,6911,6970,mixture,Cvi Ts1,7.5,8,03/24/2016,04/10/2016,NA,NA,NA,197,513,710
G1783,b2,Cvi,Tsu1,6911,6972,mixture,Cvi Tsu1,8,9,03/24/2016,03/31/2016,NA,NA,NA,246,812,1058
G1784,b2,Cvi,Ull23,6911,6973,mixture,Cvi Ull23,8,8,03/22/2016,03/29/2016,NA,NA,NA,233,831,1064
G1785,b2,Cvi,Uod1,6911,6975,mixture,Cvi Uod1,7.5,9,03/29/2016,03/27/2016,NA,NA,NA,249,666,915
G1786,b2,Cvi,Uod7,6911,6976,mixture,Cvi Uod7,7,8,03/27/2016,NA,04/21/2012,126.1,188.94,233,560,793
G1787,b2,Cvi,Van,6911,6977,mixture,Cvi Van,5,6.5,03/31/2016,03/29/2016,NA,NA,NA,133,526,659
G1788,b2,Cvi,Var21,6911,7516,mixture,Cvi Var21,8.5,7,03/20/2016,NA,NA,NA,NA,270,279,549
G1789,b2,Cvi,Var26,6911,7517,mixture,Cvi Var26,NA,NA,03/27/2016,NA,04/21/2012,127.4,190.24,285,257,542
G1790,b2,Cvi,Wa,6911,6978,mixture,Cvi Wa,5.5,7.5,03/24/2016,03/29/2016,NA,NA,NA,180,626,806
G1791,b2,Cvi,Wie,6911,6979,mixture,Cvi Wie,8,8.5,03/22/2016,03/20/2016,04/21/2012,58.4,121.24,251,398,649
G1792,b2,Cvi,Ws0,6911,6980,mixture,Cvi Ws0,7,8,03/24/2016,NA,NA,NA,NA,220,570,790
G1793,b2,Cvi,Ws2,6911,6981,mixture,Cvi Ws2,6.5,8,03/24/2016,03/20/2016,04/21/2012,71.4,134.24,182,514,696
G1794,b2,Cvi,Wt5,6911,6982,mixture,Cvi Wt5,7.5,7,03/27/2016,04/03/2016,NA,NA,NA,286,499,785
G1795,b2,Cvi,Yo,6911,6983,mixture,Cvi Yo,7.5,7.5,03/27/2016,NA,NA,NA,NA,266,615,881
G1796,b2,Cvi,Zdr,6911,6984,mixture,Cvi Zdr,8.5,7.5,03/29/2016,03/27/2016,NA,NA,NA,277,514,791
G1797,b2,Cvi,Sav,6911,8412,mixture,Cvi Sav,7.5,8,03/29/2016,03/20/2016,04/21/2012,108.7,171.54,319,480,799
G1798,b2,Cvi,Uk,6911,7378,mixture,Cvi Uk,8,9,03/27/2016,NA,04/21/2012,109.2,172.04,210,497,707
G1799,b2,Cvi,Sf2,6911,7328,mixture,Cvi Sf2,8.5,10.5,03/22/2016,04/07/2016,NA,NA,NA,254,699,953
G1800,b2,Cvi,St0,6911,8387,mixture,Cvi St0,7,9,03/27/2016,03/31/2016,04/21/2012,145.2,208.04,209,837,1046
G1801,b2,Cvi,Cvi,6911,6911,monoculture,Cvi Cvi,6,6,03/24/2016,03/31/2016,NA,NA,NA,273,334,607
G1802,b2,Cvi,Ci17,6911,6907,mixture,Cvi Ci17,7.5,6.5,03/24/2016,NA,NA,NA,NA,227,597,824
G1803,b2,Cvi,Kno10,6911,6927,mixture,Cvi Kno10,7,5.5,03/27/2016,NA,NA,NA,NA,238,374,612
G1804,b2,Cvi,Kn-0,6911,7186,mixture,Cvi Kn-0,8,9,03/31/2016,03/29/2016,NA,NA,NA,231,810,1041
G1805,b2,Cvi,Pu27,6911,6956,mixture,Cvi Pu27,7.5,8.5,03/29/2016,04/12/2016,NA,NA,NA,248,513,761
G1806,b2,Cvi,Sq1,6911,6966,mixture,Cvi Sq1,7,9.5,03/29/2016,NA,NA,NA,NA,227,604,831
G1807,b2,Cvi,Ull25,6911,6974,mixture,Cvi Ull25,6.5,7,03/20/2016,03/31/2016,NA,NA,NA,145,710,855
G1808,b2,Cvi,Ag,6911,6897,mixture,Cvi Ag,8,7,03/27/2016,NA,NA,NA,NA,291,411,702
G1809,b2,Cvi,Gy,6911,8214,mixture,Cvi Gy,6.5,8,03/24/2016,04/10/2016,04/21/2012,73.4,136.24,179,335,514
G1810,b2,Cvi,Bor4,6911,6903,mixture,Cvi Bor4,7,7,03/29/2016,04/05/2016,NA,NA,NA,253,701,954
G1811,b2,Cvi,Fab4,6911,6918,mixture,Cvi Fab4,8,8,03/22/2016,NA,NA,NA,NA,307,337,644
G1812,b2,Cvi,Ga,6911,6919,mixture,Cvi Ga,7,8,03/29/2016,04/03/2016,NA,NA,NA,227,669,896
G1813,b2,Cvi,Kno18,6911,6928,mixture,Cvi Kno18,7.5,7,03/29/2016,NA,NA,NA,NA,234,586,820
G1814,b2,Cvi,Mt0,6911,6939,mixture,Cvi Mt0,6.5,9,03/24/2016,03/22/2016,NA,NA,NA,205,716,921
G1815,b2,Cvi,Omo21,6911,7518,mixture,Cvi Omo21,6.5,9.5,03/22/2016,NA,NA,NA,NA,214,486,700
G1816,b2,Cvi,Pu223,6911,6951,mixture,Cvi Pu223,8,7,03/31/2016,04/03/2016,NA,NA,NA,321,555,876
G1817,b2,Cvi,Rrs10,6911,7515,mixture,Cvi Rrs10,8.5,7,03/24/2016,NA,NA,NA,NA,229,437,666
G1818,b2,Cvi,Fei,6911,8215,mixture,Cvi Fei,6,9,03/22/2016,03/29/2016,NA,NA,NA,182,797,979
G1819,b2,Cvi,Kas,6911,8424,mixture,Cvi Kas,7,10,03/22/2016,NA,04/21/2012,158.4,221.24,161,813,974
G1820,b2,Cvi,No,6911,7275,mixture,Cvi No,7,10,03/29/2016,03/22/2016,NA,NA,NA,214,777,991
G1821,b2,Cvi,Bla1,6911,8264,mixture,Cvi Bla1,7,9,03/29/2016,NA,NA,NA,NA,286,424,710
G1822,b2,Cvi,Can,6911,8274,mixture,Cvi Can,8,8,03/31/2016,NA,NA,NA,NA,240,506,746
G1823,b2,Cvi,Ge,6911,8297,mixture,Cvi Ge,6.5,8.5,03/31/2016,NA,NA,NA,NA,179,587,766
G1824,b2,Sf2,Wil2,7328,7413,mixture,Sf2 Wil2,8,9.5,03/27/2016,03/24/2016,NA,NA,NA,240,949,1189
G1825,b2,Sf2,Ci5,7328,6908,mixture,Sf2 Ci5,10,6,NA,NA,NA,NA,NA,593,451,1044
G1826,b2,Sf2,Ll0,7328,6933,mixture,Sf2 Ll0,8.5,6,04/07/2016,NA,NA,NA,NA,460,306,766
G1827,b2,Sf2,Nfa10,7328,6943,mixture,Sf2 Nfa10,10,7,NA,04/05/2016,NA,NA,NA,436,306,742
G1828,b2,Sf2,Nfa8,7328,6944,mixture,Sf2 Nfa8,9.5,7,NA,03/31/2016,NA,NA,NA,563,286,849
G1829,b2,NA,NA,NA,NA,monoculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G1830,b2,Sf2,Ts5,7328,6971,mixture,Sf2 Ts5,10,7.5,04/12/2016,NA,NA,NA,NA,478,381,859
G1831,b2,Sf2,Kz9,7328,6931,mixture,Sf2 Kz9,10,8,04/10/2016,03/27/2016,NA,NA,NA,530,589,1119
G1832,b2,Sf2,An1,7328,6898,mixture,Sf2 An1,9,8,NA,03/22/2016,NA,NA,NA,524,340,864
G1833,b2,Sf2,Bay,7328,6899,mixture,Sf2 Bay,9.5,8,04/12/2016,03/24/2016,NA,NA,NA,396,791,1187
G1834,b2,Sf2,Bil5,7328,6900,mixture,Sf2 Bil5,10,6,NA,NA,NA,NA,NA,672,106,778
G1835,b2,NA,NA,NA,NA,monoculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G1836,b2,Sf2,Bor1,7328,5837,mixture,Sf2 Bor1,9,5.5,NA,04/05/2016,NA,NA,NA,503,413,916
G1837,b2,Sf2,Br0,7328,6904,mixture,Sf2 Br0,9.5,9,NA,NA,04/21/2012,165.9,228.74,379,587,966
G1838,b2,Sf2,Bur,7328,6905,mixture,Sf2 Bur,9.5,8,NA,04/05/2016,NA,NA,NA,450,626,1076
G1839,b2,Sf2,C24,7328,6906,mixture,Sf2 C24,11.5,8,NA,03/31/2016,NA,NA,NA,516,523,1039
G1840,b2,Sf2,Col,7328,6909,mixture,Sf2 Col,9.5,8.5,NA,03/31/2016,NA,NA,NA,456,546,1002
G1841,b2,Sf2,Ct,7328,6910,mixture,Sf2 Ct,9,9,04/12/2016,03/27/2016,NA,NA,NA,452,607,1059
G1842,b2,Sf2,Ed1,7328,6009,mixture,Sf2 Ed1,9.5,8,NA,NA,04/21/2012,115.2,178.04,587,151,738
G1843,b2,Sf2,Ed2,7328,6913,mixture,Sf2 Ed2,10,5.5,04/07/2016,NA,NA,NA,NA,670,112,782
G1844,b2,Sf2,Edi0,7328,6914,mixture,Sf2 Edi0,10,9,NA,NA,NA,NA,NA,338,427,765
G1845,b2,Sf2,Ei2,7328,6915,mixture,Sf2 Ei2,10,8,NA,04/10/2016,NA,NA,NA,416,554,970
G1846,b2,Sf2,Est,7328,6916,mixture,Sf2 Est,11,8.5,NA,03/29/2016,04/21/2012,111,173.84,499,287,786
G1847,b2,Sf2,Fab2,7328,6917,mixture,Sf2 Fab2,9,8,04/12/2016,NA,NA,NA,NA,421,329,750
G1848,b2,Sf2,Got22,7328,6920,mixture,Sf2 Got22,9,9,04/10/2016,NA,NA,NA,NA,421,391,812
G1849,b2,Sf2,Got7,7328,6921,mixture,Sf2 Got7,7.5,9,NA,NA,04/21/2012,144.6,207.44,330,462,792
G1850,b2,Sf2,Gu0,7328,6922,mixture,Sf2 Gu0,10,9,04/12/2016,NA,04/21/2012,131.6,194.44,396,415,811
G1851,b2,Sf2,Kin,7328,6926,mixture,Sf2 Kin,9,8,NA,04/05/2016,NA,NA,NA,377,517,894
G1852,b2,Sf2,Kond,7328,6929,mixture,Sf2 Kond,10.5,9.5,NA,04/10/2016,NA,NA,NA,385,560,945
