Pot.No,Block,Realized_PosA,Realized_PosB,AccID_Tester_posA,AccID_Target_posB,CommunityType,RealizedComposition,Rosette_PosA_22to24March,Rosette_PosB_22to24March,DateOfFirstFlowering.PosA,DateOfFirstFlowering.PosB,washingDateRoot,RootMass_mg,RootMass_mg_corrected,Biomass_mg_posA,Biomass_mg_posB,PotBiomass_mg
G1190,b2,Ler,Omo23,6932,7519,mixture,Ler Omo23,7.5,6.5,03/27/2016,NA,NA,NA,NA,475,482,957
G1191,b2,Ler,Oy,6932,6946,mixture,Ler Oy,8,9.5,03/27/2016,03/31/2016,NA,NA,NA,353,675,1028
G1192,b2,Ler,Pna10,6932,7526,mixture,Ler Pna10,8,7,03/24/2016,NA,NA,NA,NA,524,475,999
G1193,b2,Ler,Pna17,6932,7523,mixture,Ler Pna17,6,6,03/27/2016,NA,NA,NA,NA,341,424,765
G1194,b2,Ler,Pro,6932,8213,mixture,Ler Pro,8,8,03/27/2016,03/27/2016,04/21/2012,98.5,161.34,506,322,828
G1195,b2,Ler,Ra,6932,6958,mixture,Ler Ra,7.5,11.5,03/24/2016,03/24/2016,04/21/2012,152.8,215.64,409,838,1247
G1196,b2,Ler,Ren1,6932,6959,mixture,Ler Ren1,8,7,03/27/2016,04/07/2016,NA,NA,NA,413,481,894
G1197,b2,Ler,Ren11,6932,6960,mixture,Ler Ren11,7.5,8.5,03/27/2016,03/22/2016,04/21/2012,71.5,134.34,393,541,934
G1198,b2,Ler,Rmx2,6932,7524,mixture,Ler Rmx2,8,7,03/27/2016,NA,NA,NA,NA,534,467,1001
G1199,b2,Ler,Rmx180,6932,7525,mixture,Ler Rmx180,7,7.5,03/27/2016,04/10/2016,NA,NA,NA,382,482,864
G1200,b2,Ler,Rrs7,6932,7514,mixture,Ler Rrs7,7.5,6,03/24/2016,NA,NA,NA,NA,463,428,891
G1201,b2,Ler,Se,6932,6961,mixture,Ler Se,8.5,9,03/27/2016,NA,NA,NA,NA,553,361,914
G1202,b2,Ler,Sha,6932,6962,mixture,Ler Sha,6.5,9,03/27/2016,03/27/2016,NA,NA,NA,447,676,1123
G1203,b2,Ler,Sorbo,6932,6963,mixture,Ler Sorbo,7,8,03/27/2016,NA,NA,NA,NA,474,521,995
G1204,b2,Ler,Tamm2,6932,6968,mixture,Ler Tamm2,6.5,8,03/24/2016,NA,NA,NA,NA,375,246,621
G1205,b2,Ler,Tamm27,6932,6969,mixture,Ler Tamm27,7,7,03/27/2016,NA,NA,NA,NA,547,336,883
G1206,b2,Ler,Ts1,6932,6970,mixture,Ler Ts1,8.5,9,03/24/2016,04/10/2016,04/21/2012,140.9,203.74,489,480,969
G1207,b2,Ler,Tsu1,6932,6972,mixture,Ler Tsu1,7,9.5,03/27/2016,03/31/2016,NA,NA,NA,349,669,1018
G1208,b2,Ler,Ull23,6932,6973,mixture,Ler Ull23,7.5,7,03/27/2016,03/29/2016,NA,NA,NA,372,614,986
G1209,b2,Ler,Uod1,6932,6975,mixture,Ler Uod1,7,5.5,03/27/2016,04/03/2016,NA,NA,NA,502,344,846
G1210,b2,Ler,Uod7,6932,6976,mixture,Ler Uod7,7.5,6.5,03/27/2016,NA,NA,NA,NA,539,430,969
G1211,b2,Ler,Van,6932,6977,mixture,Ler Van,7.5,6.5,03/27/2016,03/27/2016,NA,NA,NA,406,462,868
G1212,b2,Ler,Var21,6932,7516,mixture,Ler Var21,8,5.5,03/27/2016,NA,NA,NA,NA,570,192,762
